user_id,institution,account_type,credit_type,total_credit_payments,payment_frequency,amount_to_pay_next_payment,account_opening_date,account_closing_date,maximum_credit_amount,current_balance,credit_limit,past_due_balance,number_of_payments_due,worst_delinquency,worst_delinquency_date,worst_delinquency_past_due_balance
21,BANCOS,Pagos Fijos,Préstamo Personal ,16.0,Semanal,0.0,6/22/15,10/13/15,6081.0,0.0,6081.0,0.0,0.0,0.0,,0.0
21,BANCOS,Pagos Fijos,Préstamo Personal ,16.0,Semanal,0.0,10/19/15,2/9/16,9075.0,0.0,9075.0,0.0,0.0,0.0,,0.0
21,BANCOS,Pagos Fijos,Préstamo Personal ,16.0,Semanal,0.0,2/9/16,6/1/16,13071.0,0.0,13071.0,0.0,0.0,0.0,,0.0
21,BANCOS,Pagos Fijos,Préstamo Personal ,10.0,Semanal,0.0,3/15/16,6/1/16,4502.0,0.0,4502.0,0.0,6.0,1.0,3/23/16,502.0
21,BANCOS,Pagos Fijos,Préstamo Personal ,16.0,Semanal,0.0,6/9/16,10/19/16,20077.0,0.0,20077.0,0.0,3.0,3.0,10/12/16,1469.0
21,BANCOS,Pagos Fijos,Préstamo Personal ,10.0,Catorcenal,0.0,11/10/16,3/31/17,7197.0,0.0,0.0,0.0,0.0,0.0,,0.0
21,BANCOS,Pagos Fijos,Préstamo Personal ,10.0,Catorcenal,1121.0,3/31/17,,9004.0,6760.0,0.0,0.0,0.0,1.0,4/30/17,1121.0
21,SOCIEDAD FINANCIERA DE OBJETO MULTIPLE,Pagos Fijos,Préstamo Personal ,20.0,Semanal,0.0,10/23/13,3/31/14,12500.0,0.0,0.0,0.0,0.0,0.0,,0.0
21,SOCIEDAD FINANCIERA DE OBJETO MULTIPLE,Pagos Fijos,Préstamo Personal ,20.0,Semanal,0.0,5/20/14,10/31/14,12500.0,0.0,0.0,0.0,4.0,2.0,7/31/14,1969.0
21,SOCIEDAD FINANCIERA DE OBJETO MULTIPLE,Pagos Fijos,Grupo Solidario,16.0,Semanal,0.0,6/24/11,10/11/11,4000.0,0.0,0.0,0.0,0.0,0.0,,0.0
21,SOCIEDAD FINANCIERA DE OBJETO MULTIPLE,Pagos Fijos,Grupo Solidario,16.0,Semanal,0.0,10/14/11,1/31/12,5000.0,0.0,0.0,0.0,0.0,0.0,,0.0
21,SOCIEDAD FINANCIERA DE OBJETO MULTIPLE,Pagos Fijos,Grupo Solidario,16.0,Semanal,0.0,2/3/12,5/22/12,3000.0,0.0,0.0,0.0,0.0,0.0,,0.0
21,SOCIEDAD FINANCIERA DE OBJETO MULTIPLE,Pagos Fijos,Grupo Solidario,16.0,Semanal,0.0,5/25/12,9/7/12,3000.0,0.0,0.0,0.0,0.0,0.0,,0.0
21,SOCIEDAD FINANCIERA DE OBJETO MULTIPLE,Pagos Fijos,Grupo Solidario,16.0,Semanal,0.0,9/13/12,1/4/13,6000.0,0.0,0.0,0.0,0.0,0.0,,0.0
21,SOCIEDAD FINANCIERA DE OBJETO MULTIPLE,Pagos Fijos,Grupo Solidario,16.0,Semanal,0.0,5/9/13,8/29/13,10000.0,0.0,0.0,0.0,1.0,1.0,6/30/13,89.0
21,SOCIEDAD FINANCIERA DE OBJETO MULTIPLE,Pagos Fijos,Grupo Solidario,16.0,Semanal,0.0,9/20/13,1/9/14,9000.0,0.0,0.0,0.0,1.0,1.0,11/30/13,64.0
21,SOCIEDAD FINANCIERA DE OBJETO MULTIPLE,Pagos Fijos,Grupo Solidario,16.0,Semanal,0.0,1/17/14,5/9/14,12000.0,0.0,0.0,0.0,2.0,1.0,2/28/14,280.0
21,SOCIEDAD FINANCIERA DE OBJETO MULTIPLE,Pagos Fijos,Grupo Solidario,16.0,Semanal,0.0,5/16/14,8/25/14,12000.0,0.0,0.0,0.0,0.0,0.0,,0.0
21,SOCIEDAD FINANCIERA DE OBJETO MULTIPLE,Pagos Fijos,Grupo Solidario,16.0,Semanal,0.0,8/29/14,12/11/14,15000.0,0.0,0.0,0.0,2.0,1.0,10/31/14,60.0
21,SOCIEDAD FINANCIERA DE OBJETO MULTIPLE,Pagos Fijos,Grupo Solidario,16.0,Semanal,0.0,12/18/14,4/7/15,15000.0,0.0,0.0,0.0,0.0,0.0,,0.0
21,SOCIEDAD FINANCIERA DE OBJETO MULTIPLE,Pagos Fijos,Grupo Solidario,16.0,Semanal,0.0,7/24/15,11/23/15,7000.0,0.0,0.0,0.0,1.0,1.0,8/31/15,42.0
21,SOCIEDAD FINANCIERA DE OBJETO MULTIPLE,Pagos Fijos,Grupo Solidario,16.0,Semanal,706.0,11/26/15,,9000.0,2629.0,0.0,2629.0,17.0,6.0,3/31/16,4141.0
21,COOPERATIVA,Pagos Fijos,Línea de Crédito,16.0,Semanal,0.0,9/13/11,1/31/12,4000.0,0.0,4000.0,0.0,0.0,0.0,,0.0
21,MICROFINANCIERA,Pagos Fijos,Grupo Solidario,16.0,Semanal,0.0,1/4/12,4/26/12,5000.0,0.0,0.0,0.0,2.0,3.0,3/31/12,707.0
21,MICROFINANCIERA,Pagos Fijos,Grupo Solidario,11.0,Semanal,0.0,8/16/12,10/29/12,5000.0,0.0,0.0,0.0,1.0,1.0,9/30/12,508.0
21,COOPERATIVA,Pagos Fijos,Préstamo Personal ,16.0,Semanal,0.0,10/31/12,2/28/13,10000.0,0.0,0.0,0.0,0.0,0.0,,0.0
